model,company_name,lead_score,lead_reason,latency_ms,subject,body,subject_len,body_len,error
gpt-4o-mini,Oak & Thread Interiors,95,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关；数字化采购信号明确（trade/procurement 页面）；采购意向信号强（在找供应商）,4292.9,Sunny Home与Oak & Thread Interiors的合作机会,"尊敬的Oak & Thread Interiors团队，

我们是Sunny Home，专注于为住宅、软装及精品酒店提供中高端家具与灯具的供应方案。我们了解您在为高端住宅设计提供优质服务方面的努力，期待能成为您可靠的供应商。

我们的产品不仅设计精美，且符合高端市场需求，能为您的项目增添独特价值。

请您回复此邮件，探讨如何合作，共同提升客户体验。

期待您的回音。

顺祝商祺，
Sunny Home团队",38,204,
gpt-4o-mini,Luma Interior Studio,93,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关；数字化采购信号明确（trade/procurement 页面）,3693.7,Sunny Home与Luma Interior Studio的合作机会,"尊敬的Luma Interior Studio团队，

我们是Sunny Home，专注于中高端家具与灯具的供应，致力于支持住宅、软装及精品酒店项目。我们提供定制化的产品解决方案，确保满足您在奢华住宅和酒店项目中的独特需求。

我们期待与您探讨如何通过我们的产品提升您的设计方案。请您回复此邮件，安排一个简短的电话会议，以便进一步交流。

谢谢！

顺祝商祺，
Sunny Home团队",36,193,
gpt-4o-mini,Cedar & Glass Design,90,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关；数字化采购信号明确（trade/procurement 页面）,3130.9,为Cedar & Glass Design提供高端家具与灯具方案,"尊敬的Cedar & Glass Design团队，

我们是Sunny Home，专注于为住宅、软装及精品酒店提供中高端家具与灯具解决方案。我们了解您在海岸奢华住宅项目中对独特照明和定制家具的需求。我们的产品将帮助您提升设计的整体品质和客户满意度。

期待与您进一步探讨如何合作，助力您的项目成功。请您回复此邮件，安排一次简短的电话会议。

谢谢！

Sunny Home团队",32,189,
gpt-4o-mini,Mosaic Workplace Studio,71,行业匹配度高（设计/FF&E/软装）；数字化采购信号明确（trade/procurement 页面）,3026.8,提升Mosaic Workplace Studio项目的家具与灯具解决方案,"尊敬的Mosaic Workplace Studio团队，

我是Sunny Home的代表，我们专注于为住宅、软装及精品酒店提供中高端家具与灯具。我们了解贵公司在办公室及共享空间的专业需求，提供高质量的产品和灵活的采购方案，助力您的项目提升整体设计感与功能性。

期待与您探讨如何为您的下一个项目提供支持。请您方便时回复，安排一次简短的电话会议。

谢谢！",37,179,
gpt-4o-mini,Willow Creek Interiors,69,行业匹配度高（设计/FF&E/软装）；数字化采购信号明确（trade/procurement 页面）,3423.3,与Sunny Home合作提升您的室内设计项目,"尊敬的Willow Creek Interiors团队，

我们是Sunny Home，专注于为住宅、软装及精品酒店提供中高端家具与灯具的供应方案。我们相信，优质的家具和灯具能够显著提升您的设计项目的价值与吸引力。

我们希望能与您合作，提供定制化的产品解决方案，以满足您客户的独特需求。请您回复此邮件，安排一次简短的电话会议，讨论如何共同推动您的项目成功。

期待您的回复。

顺祝商祺，
Sunny Home团队",23,208,
gpt-4o-mini,Desert Staging Co,66,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关,3737.1,为Desert Staging Co提供高效家具与灯具解决方案,"尊敬的Desert Staging Co团队，

我们是Sunny Home，专注于中高端家具与灯具的供应。我们理解您在快速家具和装饰包方面的需求，特别是针对高端房源的家居布置。

我们的产品不仅美观大方，而且交付迅速，能够帮助您提升房源的吸引力，缩短销售周期。

期待与您进一步探讨如何为您的项目提供支持，请您尽快回复。 

谢谢！

Sunny Home团队",31,181,
gpt-4.1-mini,Oak & Thread Interiors,95,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关；数字化采购信号明确（trade/procurement 页面）；采购意向信号强（在找供应商）,3700.9,Sunny Home为Oak & Thread Interiors提供优质家具灯具供应方案,"尊敬的Oak & Thread Interiors团队，

您好！我是Sunny Home，专注于中高端住宅及精品酒店家具与灯具供应。了解到贵司在达拉斯专注于高端住宅设计及供应商管理，我们的产品线可助力您丰富优质供应资源，提升客户满意度。我们提供定制化软装解决方案，确保设计与品质完美契合。期待与您探讨合作可能，方便时请回复此邮件安排简短沟通。

祝好，
Sunny Home团队",45,190,
gpt-4.1-mini,Luma Interior Studio,93,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关；数字化采购信号明确（trade/procurement 页面）,3204.9,Sunny Home助力Luma Interior Studio提升家具灯具品质,"尊敬的Luma Interior Studio团队，

您好！我们是Sunny Home，专注于为住宅、软装及精品酒店提供中高端家具与灯具解决方案。了解到贵司在凤凰城高端住宅与酒店项目中，常需定制灯具及客厅家具。我们可提供符合贵司设计标准的优质产品，助力提升项目品质与客户满意度。

期待与您探讨合作可能，方便时请回复邮件安排简短交流。

祝好，
Sunny Home团队",40,186,
gpt-4.1-mini,Cedar & Glass Design,90,行业匹配度高（设计/FF&E/软装）；与家具/灯具需求高度相关；数字化采购信号明确（trade/procurement 页面）,2670.3,Sunny Home助力Cedar & Glass Design打造海岸奢华空间,"尊敬的Cedar & Glass Design团队，

您好！Sunny Home专注于中高端住宅及精品酒店的家具与灯具供应，特别适合贵司在圣地亚哥海岸奢华住宅项目中对定制家具与灯具的高标准需求。我们提供灵活的定制方案，助力提升项目整体品质与客户满意度。期待了解贵司近期项目需求，探讨合作可能。请问您方便时回复此邮件，我们安排简短沟通。

祝商祺，
Sunny Home团队",40,187,
gpt-4.1-mini,Mosaic Workplace Studio,71,行业匹配度高（设计/FF&E/软装）；数字化采购信号明确（trade/procurement 页面）,2434.4,Sunny Home助力Mosaic Workplace Studio优化办公家具采购方案,"尊敬的Mosaic Workplace Studio团队，

您好！Sunny Home专注于中高端住宅及精品酒店家具与灯具供应，现拓展至商业办公空间。鉴于贵司在芝加哥的办公及联合办公空间设计和大批量家具采购需求，我们可提供定制化、高品质且具竞争力的家具与灯具解决方案，助力提升项目整体品质与效率。

期待与您进一步探讨合作可能，方便时请回复邮件安排简短电话沟通。

祝商祺，
Sunny Home团队",45,201,
